location,year,deaths,LEKTIKO
MUNICIPALITY OF SKYRO,2022,0,ΔΗΜΟΣ ΣΚΥΡΟΥ
MUNICIPALITY OF KARPENESIOU,2022,2,ΔΗΜΟΣ ΚΑΡΠΕΝΗΣΙΟΥ
MUNICIPALITY OF AGRAFA,2022,1,ΔΗΜΟΣ ΑΓΡΑΦΩΝ
MUNICIPALITY OF DELPHI,2022,5,ΔΗΜΟΣ ΔΕΛΦΩΝ
MUNICIPALITY OF DORIDOS,2022,1,ΔΗΜΟΣ ΔΩΡΙΔΟΣ
CORFU MUNICIPALITY,2022,8,ΔΗΜΟΣ ΚΕΡΚΥΡΑΣ
MUNICIPALITY OF PAXOS,2022,0,ΔΗΜΟΣ ΠΑΞΩΝ
MUNICIPALITY OF ZAKYNTHUS,2022,2,ΔΗΜΟΣ ΖΑΚΥΝΘΟΥ
MUNICIPALITY OF ITHACA,2022,0,ΔΗΜΟΣ ΙΘΑΚΗΣ
MUNICIPALITY OF KEFALONIA,2022,7,ΔΗΜΟΣ ΚΕΦΑΛΟΝΙΑΣ
MUNICIPALITY OF LEFKADA,2022,9,ΔΗΜΟΣ ΛΕΥΚΑΔΑΣ
MUNICIPALITY OF PATREA,2022,9,ΔΗΜΟΣ ΠΑΤΡΕΩΝ
MUNICIPALITY OF AEGIALIA,2022,5,ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ
MUNICIPALITY OF MEGANISIOU,2017,0,ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ
MUNICIPALITY OF ELAFONIS,2017,0,ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ
MUNICIPALITY OF KYTHIRA,2017,0,ΔΗΜΟΣ ΚΥΘΗΡΩΝ
MUNICIPALITY OF ANGISTRIOU,2017,0,ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ
HYDRA MUNICIPALITY,2017,0,ΔΗΜΟΣ ΎΔΡΑΣ
MUNICIPALITY OF POROS,2017,0,ΔΗΜΟΣ ΠΟΡΟΥ
AGIOS OROS (Municipality),2017,0,ΑΓΙΟ ΟΡΟΣ (Αυτοδιοίκητο)
MUNICIPALITY OF KIMOLO,2017,0,ΔΗΜΟΣ ΚΙΜΩΛΟΥ
MUNICIPALITY OF AGIOS EFSTRATIO,2017,0,ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ
FISHING MUNICIPALITY,2017,0,ΔΗΜΟΣ ΨΑΡΩΝ
MUNICIPALITY OF OINOUSSE,2017,0,ΔΗΜΟΣ ΟΙΝΟΥΣΣΩΝ
MUNICIPALITY OF AGATHONISIOU,2017,0,ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ
MEGISTIS MUNICIPALITY,2017,0,ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ
MUNICIPALITY OF NIKOLAOS SKOUFAS,2017,0,ΔΗΜΟΣ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ
MUNICIPALITY OF KEAS,2017,0,ΔΗΜΟΣ ΚΕΑΣ
MUNICIPALITY OF SIFNOS,2017,0,ΔΗΜΟΣ ΣΙΦΝΟΥ
FOLEGANDRO MUNICIPALITY,2017,0,ΔΗΜΟΣ ΦΟΛΕΓΑΝΔΡΟΥ
MUNICIPALITY OF NISYRO,2017,0,ΔΗΜΟΣ ΝΙΣΥΡΟΥ
MUNICIPALITY OF ANTIPARA,2017,0,ΔΗΜΟΣ ΑΝΤΙΠΑΡΟΥ
AMORGO MUNICIPALITY,2017,0,ΔΗΜΟΣ ΑΜΟΡΓΟΥ
MUNICIPALITY OF KISSAMOU,2017,0,ΔΗΜΟΣ ΚΙΣΣΑΜΟΥ
ALMYRO MUNICIPALITY,2017,0,ΔΗΜΟΣ ΑΛΜΥΡΟΥ
SKOPELO MUNICIPALITY,2017,0,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ
MUNICIPALITY OF KYTHNO,2017,0,ΔΗΜΟΣ ΚΥΘΝΟΥ
MUNICIPALITY OF SKYRO,2017,0,ΔΗΜΟΣ ΣΚΥΡΟΥ
MUNICIPALITY OF FILIATON,2017,0,ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ
MUNICIPALITY OF SITEIA,2017,0,ΔΗΜΟΣ ΣΗΤΕΙΑΣ
MUNICIPALITY OF WEST MANI,2017,0,ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΜΑΝΗΣ
MUNICIPALITY OF ITHACA,2017,0,ΔΗΜΟΣ ΙΘΑΚΗΣ
ARRIANA MUNICIPALITY,2017,0,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ
MUNICIPALITY OF MILOS,2017,0,ΔΗΜΟΣ ΜΗΛΟΥ
MUNICIPALITY OF IKARIA,2017,0,ΔΗΜΟΣ ΙΚΑΡΙΑΣ
MUNICIPALITY OF LEROS,2017,0,ΔΗΜΟΣ ΛΕΡΟΥ
MUNICIPALITY OF TINOS,2017,0,ΔΗΜΟΣ ΤΗΝΟΥ
MUNICIPALITY OF IETON,2017,0,ΔΗΜΟΣ ΙΗΤΩΝ
LOKRON MUNICIPALITY,2017,0,ΔΗΜΟΣ ΛΟΚΡΩΝ
MUNICIPALITY OF SAINT BARBARA,2017,0,ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ
OREIOKASTR MUNICIPALITY,2017,0,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ
MUNICIPALITY OF KO,2017,0,ΔΗΜΟΣ ΚΩ
MUNICIPALITY OF AGIOS VASILEIOU,2017,1,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ
ALONNIS MUNICIPALITY,2017,1,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ
MUNICIPALITY OF SIMI,2017,1,ΔΗΜΟΣ ΣΥΜΗΣ
MUNICIPALITY OF KARPATHOU,2017,1,ΔΗΜΟΣ ΚΑΡΠΑΘΟΥ
MUNICIPALITY OF KANTANO - SELINO,2017,1,ΔΗΜΟΣ ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ
MUNICIPALITY OF SOUTH PELIA,2017,1,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ
MUNICIPALITY OF EPIDAVUR,2017,1,ΔΗΜΟΣ ΕΠΙΔΑΥΡΟΥ
MUNICIPALITY OF PYLOS - NESTOROS,2017,1,ΔΗΜΟΣ ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ
MUNICIPALITY OF THASOS,2017,1,ΔΗΜΟΣ ΘΑΣΟΥ
MUNICIPALITY OF ANDROS,2017,1,ΔΗΜΟΣ ΆΝΔΡΟΥ
PATMOS MUNICIPALITY,2017,1,ΔΗΜΟΣ ΠΑΤΜΟΥ
DIMOROS MUNICIPALITY,2017,1,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ
KARYSTO MUNICIPALITY,2017,1,ΔΗΜΟΣ ΚΑΡΥΣΤΟΥ
MUNICIPALITY OF SYRO - HERMOUPOLI,2017,1,ΔΗΜΟΣ ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ
MUNICIPALITY OF HERMIONIDA,2017,1,ΔΗΜΟΣ ΕΡΜΙΟΝΙΔΑΣ
SITHONIA MUNICIPALITY,2017,1,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ
MUNICIPALITY OF KASSANDRAS,2017,1,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ
ERETRIA MUNICIPALITY,2017,1,ΔΗΜΟΣ ΕΡΕΤΡΙΑΣ
MUNICIPALITY OF DELPHI,2017,1,ΔΗΜΟΣ ΔΕΛΦΩΝ
MUNICIPALITY OF MARATHON,2017,1,ΔΗΜΟΣ ΜΑΡΑΘΩΝΟΣ
MUNICIPALITY OF SPATON - ARTEMIDOS,2017,1,ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ
MUNICIPALITY OF KAVALAS,2017,1,ΔΗΜΟΣ ΚΑΒΑΛΑΣ
MUNICIPALITY OF HERACLEIOU,2017,1,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF HERACLEIOU,2017,1,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF PYDNAS - KOLINDROU,2017,2,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ
MYLOPOTAM MUNICIPALITY,2017,2,ΔΗΜΟΣ ΜΥΛΟΠΟΤΑΜΟΥ
LIMN MUNICIPALITY,2017,2,ΔΗΜΟΣ ΛΗΜΝΟΥ
APOKORON MUNICIPALITY,2017,2,ΔΗΜΟΣ ΑΠΟΚΟΡΩΝΟΥ
MUNICIPALITY OF PARGAS,2017,2,ΔΗΜΟΣ ΠΑΡΓΑΣ
MUNICIPALITY OF AGIA,2017,2,ΔΗΜΟΣ ΑΓΙΑΣ
MUNICIPALITY OF SALAMINOS,2017,2,ΔΗΜΟΣ ΣΑΛΑΜΙΝΟΣ
MUNICIPALITY OF MONEMVASIA,2017,2,ΔΗΜΟΣ ΜΟΝΕΜΒΑΣΙΑΣ
MUNICIPALITY OF KALYMNIA,2017,2,ΔΗΜΟΣ ΚΑΛΥΜΝΙΩΝ
MUNICIPALITY OF NAFPLIEN,2017,2,ΔΗΜΟΣ ΝΑΥΠΛΙΕΩΝ
LAVREOTIKI MUNICIPALITY,2017,2,ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ
MUNICIPALITY OF CHIOS,2017,2,ΔΗΜΟΣ ΧΙΟΥ
MUNICIPALITY OF TRIPOLI,2017,2,ΔΗΜΟΣ ΤΡΙΠΟΛΗΣ
MUNICIPALITY OF MARKOPOULO MESOGAIAS,2017,2,ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑ
MUNICIPALITY OF SAMOS,2017,2,ΔΗΜΟΣ ΣΑΜΟΥ
MUNICIPALITY OF DORIDOS,2017,3,ΔΗΜΟΣ ΔΩΡΙΔΟΣ
MUNICIPALITY OF FAISTOS,2017,3,ΔΗΜΟΣ ΦΑΙΣΤΟΥ
MUNICIPALITY OF PREVEZA,2017,3,ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ
MUNICIPALITY OF MANTOUDIOU - LIMNIS - AGIAS ANNAS,2017,3,ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ -
MUNICIPALITY OF ARTAIA,2017,3,ΔΗΜΟΣ ΑΡΤΑΙΩΝ
MUNICIPALITY OF AGIOS NIKOLAOUS,2017,3,ΔΗΜΟΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
MUNICIPALITY OF DIRPHIA - MESSAPIA,2017,3,ΔΗΜΟΣ ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ
MUNICIPALITY OF ALEXANDRIA,2017,3,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ
MUNICIPALITY OF PAROS,2017,3,ΔΗΜΟΣ ΠΑΡΟΥ
ARISTOTELI MUNICIPALITY,2017,3,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ
MUNICIPALITY OF AKTIOU - VONICSA,2017,3,ΔΗΜΟΣ ΆΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ
MUNICIPALITY OF ISTIAIA - EDIPSO,2017,3,ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ
MUNICIPALITY OF HERACLEIOU,2017,3,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF HERACLEIOU,2017,3,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF MYKONOS,2017,3,ΔΗΜΟΣ ΜΥΚΟΝΟΥ
MUNICIPALITY OF VARIS - VOULAS - VOULIAGMENI,2017,3,ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙ
MUNICIPALITY OF PIRAEUS,2017,3,ΔΗΜΟΣ ΠΕΙΡΑΙΩΣ
IERAPETRA MUNICIPALITY,2017,4,ΔΗΜΟΣ ΙΕΡΑΠΕΤΡΑΣ
MUNICIPALITY OF NAXOS AND MIKRON KYKLADES,2017,4,ΔΗΜΟΣ ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛ
AMFILOHIA MUNICIPALITY,2017,4,ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ
MUNICIPALITY OF ABDIRON,2017,4,ΔΗΜΟΣ ΑΒΔΗΡΩΝ
MUNICIPALITY OF LEVADEA,2017,4,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
MUNICIPALITY OF NEAS PROPONTIDAS,2017,4,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ
MUNICIPALITY OF LOUTRAKI - AGION THEODORI,2017,4,ΔΗΜΟΣ ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕ
MUNICIPALITY OF SARONIKO,2017,4,ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ
MUNICIPALITY OF THERA,2017,4,ΔΗΜΟΣ ΘΗΡΑΣ
MUNICIPALITY OF ELLINIKOU - ARGYROUPOLI,2017,4,ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟ
EUROTA MUNICIPALITY,2017,5,ΔΗΜΟΣ ΕΥΡΩΤΑ
MUNICIPALITY OF PYRGOS,2017,5,ΔΗΜΟΣ ΠΥΡΓΟΥ
MUNICIPALITY OF HERSONIS,2017,5,ΔΗΜΟΣ ΧΕΡΣΟΝΗΣΟΥ
MUNICIPALITY OF STYLIDOS,2017,5,ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ
MUNICIPALITY OF IGOUMENITSA,2017,5,ΔΗΜΟΣ ΗΓΟΥΜΕΝΙΤΣΑΣ
PANGAI MUNICIPALITY,2017,5,ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ
MUNICIPALITY OF TRIFILIA,2017,5,ΔΗΜΟΣ ΤΡΙΦΥΛΙΑΣ
MUNICIPALITY OF KEFALONIA,2017,5,ΔΗΜΟΣ ΚΕΦΑΛΟΝΙΑΣ
DELTA MUNICIPALITY,2017,5,ΔΗΜΟΣ ΔΕΛΤΑ
MUNICIPALITY OF CORINTHION,2017,5,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ
MUNICIPALITY OF KYMI - ALIVERIOU,2017,6,ΔΗΜΟΣ ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ
MUNICIPALITY OF LEFKADA,2017,6,ΔΗΜΟΣ ΛΕΥΚΑΔΑΣ
MUNICIPALITY OF HOLY CITY OF MESSOLONGIOU,2017,6,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓ
MUNICIPALITY OF THERMAIKOU,2017,6,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ
MUNICIPALITY OF ALEXANDROUPOLI,2017,6,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
MUNICIPALITY OF LESVO,2017,6,ΔΗΜΟΣ ΛΕΣΒΟΥ
MUNICIPALITY OF PEANIA,2017,6,ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ
MUNICIPALITY OF LAMIE,2017,6,ΔΗΜΟΣ ΛΑΜΙΕΩΝ
MUNICIPALITY OF ANDRAVIDAS - KILLINIS,2017,7,ΔΗΜΟΣ ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ
MUNICIPALITY OF AGRINI,2017,7,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ
MUNICIPALITY OF CHALKIS,2017,7,ΔΗΜΟΣ ΧΑΛΚΙΔΕΩΝ
MUNICIPALITY OF CHANIA,2017,9,ΔΗΜΟΣ ΧΑΝΙΩΝ
MUNICIPALITY OF ZAKYNTHUS,2017,9,ΔΗΜΟΣ ΖΑΚΥΝΘΟΥ
MEGAREON MUNICIPALITY,2017,9,ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ
CORFU MUNICIPALITY,2017,10,ΔΗΜΟΣ ΚΕΡΚΥΡΑΣ
MUNICIPALITY OF THEBES,2017,11,ΔΗΜΟΣ ΘΗΒΑΙΩΝ
MUNICIPALITY OF RHODES,2017,15,ΔΗΜΟΣ ΡΟΔΟΥ
MUNICIPALITY OF FILIATON,2018,0,ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ
RIGA FERAI MUNICIPALITY,2018,0,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ
SKOPELO MUNICIPALITY,2018,0,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ
MUNICIPALITY OF ASTYPALAIA,2018,0,ΔΗΜΟΣ ΑΣΤΥΠΑΛΑΙΑΣ
AMORGO MUNICIPALITY,2018,0,ΔΗΜΟΣ ΑΜΟΡΓΟΥ
MUNICIPALITY OF NISYRO,2018,0,ΔΗΜΟΣ ΝΙΣΥΡΟΥ
FOLEGANDRO MUNICIPALITY,2018,0,ΔΗΜΟΣ ΦΟΛΕΓΑΝΔΡΟΥ
MUNICIPALITY OF ANAFI,2018,0,ΔΗΜΟΣ ΑΝΑΦΗΣ
MUNICIPALITY OF KASSOS,2018,0,ΔΗΜΟΣ ΚΑΣΟΥ
MUNICIPALITY OF ITHACA,2018,0,ΔΗΜΟΣ ΙΘΑΚΗΣ
MUNICIPALITY OF SITEIA,2018,0,ΔΗΜΟΣ ΣΗΤΕΙΑΣ
ALONNIS MUNICIPALITY,2018,0,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ
MUNICIPALITY OF SOUTH PELIA,2018,0,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ
MUNICIPALITY OF KANTANO - SELINO,2018,0,ΔΗΜΟΣ ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ
ALMYRO MUNICIPALITY,2018,0,ΔΗΜΟΣ ΑΛΜΥΡΟΥ
MUNICIPALITY OF SIMI,2018,0,ΔΗΜΟΣ ΣΥΜΗΣ
MUNICIPALITY OF KEAS,2018,0,ΔΗΜΟΣ ΚΕΑΣ
MUNICIPALITY OF SKYRO,2018,0,ΔΗΜΟΣ ΣΚΥΡΟΥ
PATMOS MUNICIPALITY,2018,0,ΔΗΜΟΣ ΠΑΤΜΟΥ
MUNICIPALITY OF WEST MANI,2018,0,ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΜΑΝΗΣ
MUNICIPALITY OF MANTOUDIOU - LIMNIS - AGIAS ANNAS,2018,0,ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ -
MUNICIPALITY OF ANDROS,2018,0,ΔΗΜΟΣ ΆΝΔΡΟΥ
MUNICIPALITY OF LEROS,2018,0,ΔΗΜΟΣ ΛΕΡΟΥ
MUNICIPALITY OF THASOS,2018,0,ΔΗΜΟΣ ΘΑΣΟΥ
MUNICIPALITY OF LEVADEA,2018,0,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
ARISTOTELI MUNICIPALITY,2018,0,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ
MUNICIPALITY OF DELPHI,2018,0,ΔΗΜΟΣ ΔΕΛΦΩΝ
MUNICIPALITY OF SAINT BARBARA,2018,0,ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ
MUNICIPALITY OF KASSANDRAS,2018,0,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ
MUNICIPALITY OF THERMAIKOU,2018,0,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ
MUNICIPALITY OF KAVALAS,2018,0,ΔΗΜΟΣ ΚΑΒΑΛΑΣ
MUNICIPALITY OF SKIATHO,2018,1,ΔΗΜΟΣ ΣΚΙΑΘΟΥ
MUNICIPALITY OF AGIOS VASILEIOU,2018,1,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ
MUNICIPALITY OF PAXOS,2018,1,ΔΗΜΟΣ ΠΑΞΩΝ
MUNICIPALITY OF PARGAS,2018,1,ΔΗΜΟΣ ΠΑΡΓΑΣ
MUNICIPALITY OF SIFNOS,2018,1,ΔΗΜΟΣ ΣΙΦΝΟΥ
ARRIANA MUNICIPALITY,2018,1,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ
LIMN MUNICIPALITY,2018,1,ΔΗΜΟΣ ΛΗΜΝΟΥ
MUNICIPALITY OF SALAMINOS,2018,1,ΔΗΜΟΣ ΣΑΛΑΜΙΝΟΣ
MUNICIPALITY OF AGIA,2018,1,ΔΗΜΟΣ ΑΓΙΑΣ
MUNICIPALITY OF KYMI - ALIVERIOU,2018,1,ΔΗΜΟΣ ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ
MUNICIPALITY OF KALYMNIA,2018,1,ΔΗΜΟΣ ΚΑΛΥΜΝΙΩΝ
MUNICIPALITY OF NAXOS AND MIKRON KYKLADES,2018,1,ΔΗΜΟΣ ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛ
MUNICIPALITY OF HERMIONIDA,2018,1,ΔΗΜΟΣ ΕΡΜΙΟΝΙΔΑΣ
MUNICIPALITY OF PREVEZA,2018,1,ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ
MUNICIPALITY OF IETON,2018,1,ΔΗΜΟΣ ΙΗΤΩΝ
MUNICIPALITY OF MARATHON,2018,1,ΔΗΜΟΣ ΜΑΡΑΘΩΝΟΣ
MUNICIPALITY OF AKTIOU - VONICSA,2018,1,ΔΗΜΟΣ ΆΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ
MUNICIPALITY OF SYRO - HERMOUPOLI,2018,1,ΔΗΜΟΣ ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ
MUNICIPALITY OF THEBES,2018,1,ΔΗΜΟΣ ΘΗΒΑΙΩΝ
MUNICIPALITY OF SARONIKO,2018,1,ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ
MUNICIPALITY OF SAMOS,2018,1,ΔΗΜΟΣ ΣΑΜΟΥ
MUNICIPALITY OF HERACLEIOU,2018,1,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF HERACLEIOU,2018,1,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ
MUNICIPALITY OF MILOS,2018,2,ΔΗΜΟΣ ΜΗΛΟΥ
MUNICIPALITY OF AGIOS NIKOLAOUS,2018,2,ΔΗΜΟΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
APOKORON MUNICIPALITY,2018,2,ΔΗΜΟΣ ΑΠΟΚΟΡΩΝΟΥ
MUNICIPALITY OF KARPATHOU,2018,2,ΔΗΜΟΣ ΚΑΡΠΑΘΟΥ
MUNICIPALITY OF KISSAMOU,2018,2,ΔΗΜΟΣ ΚΙΣΣΑΜΟΥ
DIMOROS MUNICIPALITY,2018,2,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ
MUNICIPALITY OF EPIDAVUR,2018,2,ΔΗΜΟΣ ΕΠΙΔΑΥΡΟΥ
MUNICIPALITY OF DIRPHIA - MESSAPIA,2018,2,ΔΗΜΟΣ ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ
KARYSTO MUNICIPALITY,2018,2,ΔΗΜΟΣ ΚΑΡΥΣΤΟΥ
MUNICIPALITY OF MONEMVASIA,2018,2,ΔΗΜΟΣ ΜΟΝΕΜΒΑΣΙΑΣ
MUNICIPALITY OF TINOS,2018,2,ΔΗΜΟΣ ΤΗΝΟΥ
MUNICIPALITY OF DORIDOS,2018,2,ΔΗΜΟΣ ΔΩΡΙΔΟΣ
MUNICIPALITY OF ABDIRON,2018,2,ΔΗΜΟΣ ΑΒΔΗΡΩΝ
MUNICIPALITY OF ISTIAIA - EDIPSO,2018,2,ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ
ERETRIA MUNICIPALITY,2018,2,ΔΗΜΟΣ ΕΡΕΤΡΙΑΣ
MUNICIPALITY OF PAROS,2018,2,ΔΗΜΟΣ ΠΑΡΟΥ
MUNICIPALITY OF PEANIA,2018,2,ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ
MUNICIPALITY OF LEFKADA,2018,2,ΔΗΜΟΣ ΛΕΥΚΑΔΑΣ
MUNICIPALITY OF NEAS PROPONTIDAS,2018,2,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ
MUNICIPALITY OF SPATON - ARTEMIDOS,2018,2,ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ
MUNICIPALITY OF TRIPOLI,2018,2,ΔΗΜΟΣ ΤΡΙΠΟΛΗΣ
CORFU MUNICIPALITY,2018,2,ΔΗΜΟΣ ΚΕΡΚΥΡΑΣ
MUNICIPALITY OF MARKOPOULO MESOGAIAS,2018,2,ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑ
DELTA MUNICIPALITY,2018,2,ΔΗΜΟΣ ΔΕΛΤΑ
MUNICIPALITY OF MYKONOS,2018,2,ΔΗΜΟΣ ΜΥΚΟΝΟΥ
IERAPETRA MUNICIPALITY,2018,3,ΔΗΜΟΣ ΙΕΡΑΠΕΤΡΑΣ
MUNICIPALITY OF HERSONIS,2018,3,ΔΗΜΟΣ ΧΕΡΣΟΝΗΣΟΥ
MUNICIPALITY OF ARTAIA,2018,3,ΔΗΜΟΣ ΑΡΤΑΙΩΝ
MUNICIPALITY OF PYDNAS - KOLINDROU,2018,3,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ
MUNICIPALITY OF PYLOS - NESTOROS,2018,3,ΔΗΜΟΣ ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ
EUROTA MUNICIPALITY,2018,3,ΔΗΜΟΣ ΕΥΡΩΤΑ
MUNICIPALITY OF FAISTOS,2018,3,ΔΗΜΟΣ ΦΑΙΣΤΟΥ
MUNICIPALITY OF KEFALONIA,2018,3,ΔΗΜΟΣ ΚΕΦΑΛΟΝΙΑΣ
OREIOKASTR MUNICIPALITY,2018,3,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ
MUNICIPALITY OF LOUTRAKI - AGION THEODORI,2018,3,ΔΗΜΟΣ ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕ
MUNICIPALITY OF ELLINIKOU - ARGYROUPOLI,2018,3,ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟ
MUNICIPALITY OF VARIS - VOULAS - VOULIAGMENI,2018,3,ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙ
MUNICIPALITY OF NIKOLAOS SKOUFAS,2018,4,ΔΗΜΟΣ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ
MUNICIPALITY OF STYLIDOS,2018,4,ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ
AMFILOHIA MUNICIPALITY,2018,4,ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ
MUNICIPALITY OF ALEXANDRIA,2018,4,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ
